rec_id,hh_id,study_site,survey_date,
837,0105-036,Rural,8/8/21,
1207,0405-022,Rural,9/26/21,
722,0501-031,Rural,7/18/21,
1659,0506-119,Rural,12/5/21,
1261,0601-034,Rural,10/12/21,
1683,0603-029,Rural,12/2/21,
1268,0606-102,Rural,10/11/21,
1295,0609-002,Rural,10/7/21,
1235,0702-243,Rural,10/8/21,
892,0705-101,Rural,8/7/21,
927,0706-022,Rural,8/18/21,
1669,0708-226,Rural,12/1/21,
881,0802-458,Rural,8/1/21,
940,1503-124,Rural,8/19/21,
1408,1603-198,Rural,11/5/21,
1642,1803-130,Rural,12/2/21,
1323,2403-187,Rural,10/15/21,
1419,2605-169,Rural,11/6/21,
1097,2607-075,Rural,9/9/21,
984,2607-124,Rural,8/27/21,
1362,2703-148,Rural,10/16/21,
1695,2705-135,Rural,12/1/21,
1700,2705-255,Rural,12/4/21,
1554,2706-254,Rural,11/12/21,
1574,2801-203,Rural,11/20/21,
857,3003-468,Rural,8/7/21,
1092,3101-288,Rural,9/8/21,
1676,3101-291,Rural,12/2/21,
825,3102-088,Rural,8/7/21,
935,3102-218,Rural,8/17/21,
1480,3102-446,Rural,11/10/21,
1465,3103-083,Rural,10/31/21,
868,3201-281,Rural,7/21/21,
1764,3202-561,Rural,12/4/21,
1647,3202-613,Rural,12/3/21,
1051,3204-241,Rural,9/5/21,
1469,3204-316,Rural,11/3/21,
1069,3204-403,Rural,9/5/21,
1377,3204-483,Rural,10/23/21,
776,3205-338,Rural,7/25/21,
990,3208-386,Rural,8/28/21,
995,3209-111,Rural,8/29/21,
714,3209-291,Rural,7/18/21,
1169,3210-241,Rural,9/22/21,
1353,3210-692,Rural,10/13/21,
1299,3210-829,Rural,10/10/21,
1447,3301-105,Rural,11/3/21,
1438,3304-033,Rural,10/28/21,
851,3305-241,Rural,7/31/21,
1219,3305-275,Rural,9/27/21,
1212,3305-287,Rural,9/29/21,
847,3305-289,Rural,7/31/21,
1224,3309-002,Rural,9/30/21,
1420,3403-037,Rural,11/7/21,
1331,3403-045,Rural,10/17/21,
787,3403-108,Rural,7/24/21,
1402,3403-235,Rural,10/30/21,
826,3403-352,Rural,8/1/21,
877,3403-389,Rural,7/25/21,
1160,3404-087,Rural,9/19/21,
1580,3405-005,Rural,11/18/21,
1592,3405-182,Rural,11/17/21,
1000,3406-012,Rural,8/29/21,
1111,BL0QM2032,Urban,9/6/21,
455,BL1GG1030,Urban,5/30/21,missing
578,BL1GG1040,Urban,6/21/21,missing
1650,BL1GG1061,Urban,NA,missing
1249,BL2CM2003,Urban,9/25/21,
1202,BL2CM2032,Urban,9/28/21,
433,BLACM1022,Urban,6/7/21,
617,BLACM1038,Urban,NA,
1492,BLBDA1010,Urban,11/9/21,
1190,BLBDA1018,Urban,9/18/21,
1119,BLBDA1044,Urban,8/23/21,
249,BLBRT1059,Urban,5/9/21,
1305,QU2GG1015,Urban,10/11/21,
1487,QU2NM4001,Urban,10/27/21,
1347,QU2RT1001,Urban,10/16/21,
2259,QU2RT1012,Urban,10/23/21,
1285,QU2RT1016,Urban,10/12/21,
1390,QU2RT1017,Urban,10/24/21,
1631,QU3AM2004,Urban,11/27/21,
1736,QU3QM1034,Urban,11/26/21,
1627,QU3QM2047,Urban,11/25/21,
1739,QU5QM1070,Urban,12/2/21,
1603,QU7GG1064,Urban,NA,
1721,QU7GJ1046,Urban,12/6/21,
1606,QU7NM4029,Urban,11/25/21,
735,QU8NM1002,Urban,7/20/21,
807,QU8NM1005,Urban,7/26/21,
505,QU9JM2068,Urban,NA,
1527,QUBNM4003,Urban,11/8/21,
1515,QUCGG1009,Urban,NA,
1367,QUFQM2077,Urban,10/18/21,
2257,QUGPC1004,Urban,12/15/21,
1626,QUKAM2012,Urban,11/9/21,
1541,QUKMU1016,Urban,11/15/21,
1502,QUKNM1002,Urban,11/4/21,
1488,QUKNM1003,Urban,11/9/21,
1518,QUKQM1001,Urban,11/9/21,
1520,QUKQM2001,Urban,11/9/21,
5805,QUKQM203,Urban,NA,
5800,QUKQM2030,Urban,NA,
2261,QUKQM2039,Urban,NA,
1568,QUKRT10141,Urban,11/18/21,
1567,QUKRT1041,Urban,NA,
1727,QULNM4015,Urban,12/11/21,
1955,QULQM1041,Urban,2/2/22,
5814,QULRT1039,Urban,NA,
1615,QUMMU1002,Urban,11/19/21,
1733,QUMPC1003,Urban,11/25/21,
661,QUOMU1033,Urban,7/5/21,
1387,QUOMU1039,Urban,10/25/21,
595,QURMU1007,Urban,NA,
745,QURMU1022,Urban,7/13/21,
965,QUSRT1029,Urban,8/24/21,
1040,QUTRT1061,Urban,NA,
1030,QUUGG1003,Urban,8/30/21,
1277,QUUGG1005,Urban,NA,
1026,QUUGG1009,Urban,8/31/21,
1141,QUUGG1037,Urban,9/15/21,
1183,QUURT1036,Urban,NA,
903,QUVAM2023,Urban,8/8/21,
1037,QUVAM2034,Urban,9/2/21,
1512,QUWJC1041,Urban,11/3/21,
1129,QUXQM2066,Urban,9/14/21,
1180,QUXQM2120,Urban,NA,
1145,QUXQM2140,Urban,9/13/21,
1270,QUXRT1176,Urban,NA,
730,QUYPC1071,Urban,7/19/21,
1780,QUYPC1113,Urban,12/10/21,
773,QUYPC1122,Urban,7/20/21,
723,QUYPC1140,Urban,7/16/21,
703,QUYPC1144,Urban,7/15/21,
899,QUYPC1195,Urban,8/2/21,
1746,QUYPC1214,Urban,12/6/21,
1260,QUYPC1272,Urban,9/28/21,
1638,QUZRT1013,Urban,11/29/21,